Stock Name,Ticker,Category
Cablevision Systems,CVC,Consumer Discretionary
Amazon,AMZN,Consumer Discretionary
Netflix,NFLX,Consumer Discretionary
Time Warner Cable,TWC,Consumer Discretionary
Nike,NKE,Consumer Discretionary
Tyson,TSN,Consumer Staples
Hormel,HRL,Consumer Staples
Reynolds American,RAI,Consumer Staples
Campbells Soup,CPB,Consumer Staples
McCormick & co,MKC,Consumer Staples
Cameron International,CAM,Energy
Columbia Pipeline Group,CPGX,Energy
Phillips 66,PSX,Energy
Valero Energy,VLO,Energy
Exxon,XOM,Energy
Nasdaq,NDAQ,Financial Services
Progressive,PGR,Financial Services
Cincinnati Financial Group,CINF,Financial Services
Assurant ,AIZ,Financial Services
Intercontinental Exchange,ICE,Financial Services
Edwards Lifesciences,EW,Health Care
Schein Henry,HSIC,Health Care
Cigna Corperation,CI,Health Care
Baxter Intl,BAX,Health Care
Dentsply,XRAY,Health Care
General Electric,GE,Industrials
Raytheon,RTN,Industrials
Republic Services,RSG,Industrials
Northrop Grumman,NOC,Industrials
Equifax,EFX,Industrials
Airgas,ARG,Materials
Vulcan,VMC,Materials
Avery Dennison,AVY,Materials
Westrock,WRK,Materials
Newmont Mining,NEM,Materials
Extra Space Storage,EXR,Real Estate
Public Storage,PSA,Real Estate
Equinix,EQIX,Real Estate
Realty Income,O,Real Estate
Federal Realty,FRT,Real Estate
Nvidia,NVDA,Technology
Alphabet inc,GOOGL,Technology
Facebook inc,FB,Technology
Activision,ATVI,Technology
Verisign,VRSN,Technology
Nisource,NI,Utilities
Teco,TE,Utilities
AGL resources,GAS,Utilities
Scana corp,SCG,Utilities
Consolidated Edison,ED,Utilities
